,gtype_train,generation_seed,splilt_seed,copies,adj_size,model_seed,epochs,kendalltau,std
0,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,0,0.6433707281240552,0.07823708944609986
1,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,1,0.6848323000762395,0.0662049125692346
2,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,2,0.7433603418164613,0.06145596375996941
3,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,3,0.7836446000032846,0.06042670194897764
4,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,4,0.8020562728130729,0.06122871859264953
5,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,5,0.8115943377123658,0.06103639687297047
6,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,6,0.8188163937644557,0.060641768160102805
7,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,7,0.8243984219262295,0.06012270416232539
8,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,8,0.8289066029122886,0.059435875789000135
9,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,9,0.832408746333171,0.05850361826839651
10,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,10,0.8352315038201399,0.05791476721801093
11,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,11,0.8372868502587236,0.057577858571459556
12,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,12,0.8394103450808789,0.05710151509228987
13,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,13,0.8405211724846124,0.05689118851974327
14,ER_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,14,0.8414413245204724,0.05696875481351833
15,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,0,0.9630341785812171,0.0027594629290967963
16,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,1,0.9641400078505906,0.002815597482205494
17,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,2,0.9659494093771055,0.00276632260893778
18,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,3,0.9678087227419436,0.002894154722757734
19,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,4,0.9692996543834662,0.003005685503847522
20,SF_15_graphs_2000_1000_nodes_10_genseed_5_train_5_copies_10000_size_10_splitseed.pickle,10,10,5,10000,15,5,0.9706118946534072,0.0031708083880591428
