,gtype_train,train_generation_seed,train_splilt_seed,test_generation_seed,test_splilt_seed,copies,adj_size,model_seed,epochs,kendalltau,std
0,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,0,0.7467893824796327,0.07645942572944546
1,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,1,0.8131740429052442,0.05670450560938412
2,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,2,0.834524012195136,0.055753792869293536
3,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,3,0.8453164649658869,0.05352057238808083
4,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,4,0.8539757671010759,0.052870334949941575
5,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,5,0.8602889009741974,0.0524043557951551
6,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,6,0.8650949217734029,0.05220560815431934
7,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,7,0.8690275935563163,0.05249874241607539
8,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,8,0.8716678729166178,0.052609458890178776
9,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,9,0.873777543570213,0.05266485529889514
10,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,10,0.8749900339520768,0.052483923869005494
11,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,11,0.8757165122388036,0.05224056134336259
12,ER_5_graphs_2000_1000_nodes_0_genseed_5_train_10_copies_10000_size_0_splitseed.pickle,0,0,10,0,10,10000,15,12,0.876649791758366,0.05235488479645609
