,graph,nodes,size,copies,kendalltau,avg
0,1-wiki-Vote,10,10000,1,0.8949521929540041,0.0
1,1-wiki-Vote,10,10000,10,0.9264545545559231,0.0
2,1-wiki-Vote,10,10000,20,0.9267316499864096,0.0
3,1-wiki-Vote,10,10000,40,0.9303013178003892,0.0
4,1-wiki-Vote,100,10000,1,0.9061657818656471,0.0
5,1-wiki-Vote,100,10000,10,0.9254549896499265,0.0
6,1-wiki-Vote,100,10000,20,0.9235345818165396,0.0
7,1-wiki-Vote,100,10000,40,0.9203110601976167,0.0
8,1-wiki-Vote,1000,10000,1,0.907307782889663,0.0
9,1-wiki-Vote,1000,10000,10,0.9240063818945984,0.0
10,1-wiki-Vote,1000,10000,20,0.9236315308931226,0.0
11,1-wiki-Vote,1000,10000,40,0.9259862722072759,0.0
12,1-wiki-Vote,10000,10000,1,0.9093016028891199,0.0
13,1-wiki-Vote,10000,10000,10,0.9239133726934063,0.0
14,1-wiki-Vote,10000,10000,20,0.922978496547083,0.0
15,1-wiki-Vote,10000,10000,40,0.9276922760326092,0.0
16,1-wiki-Vote,10,100000,1,0.677454421092637,0.0
17,1-wiki-Vote,10,100000,10,0.9272013394169375,0.0
18,1-wiki-Vote,10,100000,20,0.9273645628259886,0.0
19,1-wiki-Vote,10,100000,40,0.9283434811507887,0.0
20,1-wiki-Vote,100,100000,1,0.9098900897887189,0.0
21,1-wiki-Vote,100,100000,10,0.925329195057089,0.0
22,1-wiki-Vote,100,100000,20,0.9252700969262256,0.0
23,1-wiki-Vote,100,100000,40,0.9245735832410509,0.0
24,1-wiki-Vote,1000,100000,1,0.9185386791110588,0.0
25,1-wiki-Vote,1000,100000,10,0.9241051601990414,0.0
26,1-wiki-Vote,1000,100000,20,0.9246848847208434,0.0
27,1-wiki-Vote,1000,100000,40,0.9253037265768835,0.0
28,1-wiki-Vote,10000,100000,1,0.9122884889329217,0.0
29,1-wiki-Vote,10000,100000,10,0.9235842523884319,0.0
30,1-wiki-Vote,10000,100000,20,0.9244076863451275,0.0
31,1-wiki-Vote,10000,100000,40,0.9254503462253587,0.0
32,1-wiki-Vote,10,300000,1,0.8341355728710863,0.0
33,1-wiki-Vote,10,300000,10,0.9238703154837775,0.0
34,1-wiki-Vote,10,300000,20,0.9274202461901672,0.0
35,1-wiki-Vote,10,300000,40,0.9276442939787415,0.0
36,1-wiki-Vote,100,300000,1,0.8661858963366152,0.0
37,1-wiki-Vote,100,300000,10,0.9238841050476455,0.0
38,1-wiki-Vote,100,300000,20,0.9214748712461178,0.0
39,1-wiki-Vote,100,300000,40,0.9187498845739774,0.0
40,1-wiki-Vote,1000,300000,1,0.8712093781698323,0.0
