,graph,size,copies,epochs,kendalltau
0,1-wiki-Vote,10000,1,0,0.9153955028081429
1,1-wiki-Vote,10000,1,1,0.9249104425869717
2,1-wiki-Vote,10000,1,2,0.9279178338987375
3,1-wiki-Vote,10000,1,3,0.9290954345111068
4,1-wiki-Vote,10000,1,4,0.9281829312286101
5,1-wiki-Vote,10000,1,5,0.9267013973718009
6,1-wiki-Vote,10000,1,6,0.9248438490135663
7,1-wiki-Vote,10000,1,7,0.9231253976152288
8,1-wiki-Vote,10000,1,8,0.9218678738163588
9,1-wiki-Vote,10000,1,9,0.9212667613995777
10,1-wiki-Vote,10000,1,10,0.9209048557029575
11,1-wiki-Vote,10000,1,11,0.9205825922087505
12,1-wiki-Vote,10000,1,12,0.9203916869332945
13,1-wiki-Vote,10000,1,13,0.9201163177854386
14,1-wiki-Vote,10000,1,14,0.919808163245937
15,1-wiki-Vote,10000,10,0,0.9208948653046449
16,1-wiki-Vote,10000,10,1,0.9187566386460762
17,1-wiki-Vote,10000,10,2,0.9185262966455445
18,1-wiki-Vote,10000,10,3,0.9183186089285106
19,1-wiki-Vote,10000,10,4,0.918046616816704
20,1-wiki-Vote,10000,10,5,0.9174440973015691
21,1-wiki-Vote,10000,10,6,0.9161855885338511
22,1-wiki-Vote,10000,10,7,0.9154999095060014
23,1-wiki-Vote,10000,10,8,0.9147765202422673
24,1-wiki-Vote,10000,10,9,0.9141582030284086
25,1-wiki-Vote,10000,10,10,0.9138401987892432
26,1-wiki-Vote,10000,10,11,0.9131262752928269
27,1-wiki-Vote,10000,10,12,0.9122721665920167
28,1-wiki-Vote,10000,10,13,0.9122028990870625
29,1-wiki-Vote,10000,10,14,0.912164804987615
30,1-wiki-Vote,10000,20,0,0.9183717972462876
31,1-wiki-Vote,10000,20,1,0.9180571700543582
32,1-wiki-Vote,10000,20,2,0.9166911589724033
33,1-wiki-Vote,10000,20,3,0.9153843867311471
34,1-wiki-Vote,10000,20,4,0.9136066586708446
35,1-wiki-Vote,10000,20,5,0.9121075360846117
36,1-wiki-Vote,10000,20,6,0.9110910482337627
37,1-wiki-Vote,10000,20,7,0.9088281526610393
38,1-wiki-Vote,10000,20,8,0.907879909080354
39,1-wiki-Vote,10000,20,9,0.9077569286842242
40,1-wiki-Vote,10000,20,10,0.9073702580565756
41,1-wiki-Vote,10000,20,11,0.9070180228902638
42,1-wiki-Vote,10000,20,12,0.9069723306420959
43,1-wiki-Vote,10000,20,13,0.9073218538732019
44,1-wiki-Vote,10000,20,14,0.907578086483445
45,1-wiki-Vote,10000,40,0,0.9165532633337222
46,1-wiki-Vote,10000,40,1,0.9132887951527011
47,1-wiki-Vote,10000,40,2,0.9062907321994723
48,1-wiki-Vote,10000,40,3,0.8997800881160307
49,1-wiki-Vote,10000,40,4,0.8957209926488344
50,1-wiki-Vote,10000,40,5,0.8901144481035004
51,1-wiki-Vote,10000,40,6,0.8858430603404366
52,1-wiki-Vote,10000,40,7,0.8874074722902898
53,1-wiki-Vote,10000,40,8,0.8849788205314782
54,1-wiki-Vote,10000,40,9,0.882220907757857
55,1-wiki-Vote,10000,40,10,0.8832022410013611
56,1-wiki-Vote,10000,40,11,0.884318852156672
57,1-wiki-Vote,10000,40,12,0.8847275127654738
58,1-wiki-Vote,10000,40,13,0.8902619120109877
59,1-wiki-Vote,10000,40,14,0.8911520424296576
