,graph,nodes,size,copies,epochs,kendalltau,avg
0,1-wiki-Vote,10,10000,1,0,0.8949521929540041,0.0
1,1-wiki-Vote,10,10000,1,1,0.9119821253475712,0.0
2,1-wiki-Vote,10,10000,1,2,0.9203313224139127,0.0
3,1-wiki-Vote,10,10000,1,3,0.9249858630587402,0.0
4,1-wiki-Vote,10,10000,1,4,0.9272512914085005,0.0
5,1-wiki-Vote,10,10000,1,5,0.9281204560616975,0.0
6,1-wiki-Vote,10,10000,1,6,0.9277964013107969,0.0
7,1-wiki-Vote,10,10000,1,7,0.9271553273007652,0.0
8,1-wiki-Vote,10,10000,1,8,0.926652571058921,0.0
9,1-wiki-Vote,10,10000,1,9,0.9263611609898307,0.0
10,1-wiki-Vote,10,10000,1,10,0.9262270645167051,0.0
11,1-wiki-Vote,10,10000,1,11,0.9262131342430017,0.0
12,1-wiki-Vote,10,10000,1,12,0.9263534219488843,0.0
13,1-wiki-Vote,10,10000,1,13,0.9265723664527493,0.0
14,1-wiki-Vote,10,10000,1,14,0.9267669681550921,0.0
15,1-wiki-Vote,10,10000,10,0,0.9264545545559231,0.0
16,1-wiki-Vote,10,10000,10,1,0.9268670128480536,0.0
17,1-wiki-Vote,10,10000,10,2,0.928837513382839,0.0
18,1-wiki-Vote,10,10000,10,3,0.9305302527025667,0.0
19,1-wiki-Vote,10,10000,10,4,0.9312670094006626,0.0
20,1-wiki-Vote,10,10000,10,5,0.9311703417437506,0.0
21,1-wiki-Vote,10,10000,10,6,0.9296743147738964,0.0
22,1-wiki-Vote,10,10000,10,7,0.926650741831061,0.0
23,1-wiki-Vote,10,10000,10,8,0.9231709876018949,0.0
24,1-wiki-Vote,10,10000,10,9,0.9093261247684805,0.0
25,1-wiki-Vote,10,10000,10,10,0.8844964672157655,0.0
26,1-wiki-Vote,10,10000,10,11,0.8703126343888993,0.0
27,1-wiki-Vote,10,10000,10,12,0.8727187725740484,0.0
28,1-wiki-Vote,10,10000,10,13,0.8786080025766874,0.0
29,1-wiki-Vote,10,10000,10,14,0.868802817855177,0.0
30,1-wiki-Vote,10,10000,20,0,0.9267316499864096,0.0
31,1-wiki-Vote,10,10000,20,1,0.931082960935974,0.0
32,1-wiki-Vote,10,10000,20,2,0.9320648341673174,0.0
33,1-wiki-Vote,10,10000,20,3,0.9306944610804655,0.0
34,1-wiki-Vote,10,10000,20,4,0.927547729305514,0.0
35,1-wiki-Vote,10,10000,20,5,0.9207555246025267,0.0
36,1-wiki-Vote,10,10000,20,6,0.9033200661547431,0.0
37,1-wiki-Vote,10,10000,20,7,0.9090770683598421,0.0
38,1-wiki-Vote,10,10000,20,8,0.9090815710745747,0.0
39,1-wiki-Vote,10,10000,20,9,0.9090816734086704,0.0
40,1-wiki-Vote,10,10000,20,10,0.9090816734086704,0.0
41,1-wiki-Vote,10,10000,20,11,0.9090815710745747,0.0
42,1-wiki-Vote,10,10000,20,12,0.9090816734086704,0.0
43,1-wiki-Vote,10,10000,20,13,0.9090816734086704,0.0
44,1-wiki-Vote,10,10000,20,14,0.9090815710745747,0.0
45,1-wiki-Vote,10,10000,40,0,0.9303013178003892,0.0
46,1-wiki-Vote,10,10000,40,1,0.9290256424327538,0.0
47,1-wiki-Vote,10,10000,40,2,0.899762499386607,0.0
48,1-wiki-Vote,10,10000,40,3,0.8830059279294914,0.0
