,gtype_train,seed_train_graphs,graph,nodes,size,copies,epochs,kendalltau,std
0,ER,1,1-wiki-Vote,10000,10000,40,0,0.9101903645774387,0.0
1,ER,1,1-wiki-Vote,10000,10000,40,1,0.9084486582349957,0.0
2,ER,1,1-wiki-Vote,10000,10000,40,2,0.9101633482890441,0.0
3,ER,1,1-wiki-Vote,10000,10000,40,3,0.9084604778611683,0.0
4,ER,1,1-wiki-Vote,10000,10000,40,4,0.9051349416115885,0.0
5,ER,1,1-wiki-Vote,10000,10000,40,5,0.9052527157438089,0.0
6,ER,1,1-wiki-Vote,10000,10000,40,6,0.9053009792173472,0.0
7,ER,1,1-wiki-Vote,10000,10000,40,7,0.9069989248009844,0.0
8,ER,1,1-wiki-Vote,10000,10000,40,8,0.9074809966970265,0.0
9,ER,1,1-wiki-Vote,10000,10000,40,9,0.9057000323105101,0.0
10,ER,1,1-wiki-Vote,10000,10000,40,10,0.9061290565986106,0.0
11,ER,1,1-wiki-Vote,10000,10000,40,11,0.9065569552080281,0.0
12,ER,1,1-wiki-Vote,10000,10000,40,12,0.9047932981312643,0.0
13,ER,1,1-wiki-Vote,10000,10000,40,13,0.9056205312535154,0.0
14,ER,1,1-wiki-Vote,10000,10000,40,14,0.9046575131401141,0.0
15,GRP,1,1-wiki-Vote,10000,10000,40,0,0.9171239824260594,0.0
16,GRP,1,1-wiki-Vote,10000,10000,40,1,0.9126018497363328,0.0
17,GRP,1,1-wiki-Vote,10000,10000,40,2,0.9161611050224935,0.0
18,GRP,1,1-wiki-Vote,10000,10000,40,3,0.9160706285983384,0.0
19,GRP,1,1-wiki-Vote,10000,10000,40,4,0.915298975861066,0.0
20,GRP,1,1-wiki-Vote,10000,10000,40,5,0.9140821172046234,0.0
21,GRP,1,1-wiki-Vote,10000,10000,40,6,0.9133932018505596,0.0
22,GRP,1,1-wiki-Vote,10000,10000,40,7,0.9127389011160015,0.0
23,GRP,1,1-wiki-Vote,10000,10000,40,8,0.9119779423262186,0.0
24,GRP,1,1-wiki-Vote,10000,10000,40,9,0.9116906128423545,0.0
25,GRP,1,1-wiki-Vote,10000,10000,40,10,0.9112092444954893,0.0
26,GRP,1,1-wiki-Vote,10000,10000,40,11,0.9101160697843534,0.0
