,gtype,copies,epochs,kendalltau,std
0,ER,1,0,0.5647387506136478,0.07751104214350296
1,ER,1,1,0.6338467247529851,0.0739381015583368
2,ER,1,2,0.6727243273764869,0.07492352600576481
3,ER,1,3,0.6936693126617792,0.07276051929461992
4,ER,1,4,0.7013323577942151,0.06447363324927521
5,ER,1,5,0.705999942828066,0.05651039286789837
6,ER,1,6,0.7169730411528985,0.057588831721682665
7,ER,1,7,0.7276701541395649,0.06270735455743363
8,ER,1,8,0.7386212571344047,0.06611895996689857
9,ER,1,9,0.7495573930040427,0.06771005272427641
10,ER,1,10,0.7590661435981161,0.06807897354213961
11,ER,1,11,0.7689413696753796,0.06943499031630528
12,ER,1,12,0.779262702836707,0.07205143005522352
13,ER,1,13,0.7872321741779785,0.07352802582566488
14,ER,1,14,0.7932266668606403,0.07374210730737224
15,ER,2,0,0.6478810451173658,0.08382743816824498
16,ER,2,1,0.6993958338154534,0.06801834006984576
17,ER,2,2,0.713429387537014,0.05720904803759668
18,ER,2,3,0.7302013297797042,0.061098256047291265
19,ER,2,4,0.7499067466041403,0.0635104529031679
20,ER,2,5,0.7716864942255429,0.06742566168784217
21,ER,2,6,0.7892096512035435,0.06857534498090125
22,ER,2,7,0.8012471132462716,0.06780867922488872
23,ER,2,8,0.8089710415677956,0.06648735261253645
24,ER,2,9,0.8137846299753525,0.06520354176474934
25,ER,2,10,0.8167543656270777,0.06177671191648917
26,ER,2,11,0.8211211067180828,0.06184282338608152
27,ER,2,12,0.822757445717181,0.0615331601606766
28,ER,2,13,0.8237479125643186,0.06214629591402401
29,ER,2,14,0.8244732587153782,0.05977651614349704
30,ER,10,0,0.7570664350633954,0.0642137626222015
31,ER,10,1,0.8184750737140261,0.06598193540346957
32,ER,10,2,0.8261781930437445,0.05872109572656136
33,ER,10,3,0.8389127925550353,0.059397315173757785
34,ER,10,4,0.8451533231084631,0.05916267402712607
35,ER,10,5,0.8503741382587243,0.05716739294529332
36,ER,10,6,0.8543720540106093,0.05528184567745375
37,ER,10,7,0.8584732648424968,0.055217573721117776
38,ER,10,8,0.8604574844720876,0.05314188777935531
39,ER,10,9,0.8633261882890956,0.0534726638299455
40,ER,10,10,0.8641241921970361,0.05290422332920485
41,ER,10,11,0.8661547098186061,0.05236683516981103
42,ER,10,12,0.8661800599244522,0.050974282106955385
43,ER,10,13,0.866917415175727,0.051101918255414096
44,ER,10,14,0.8667587599450897,0.049846770511513906
45,ER,20,0,0.8162685084763295,0.07201959407332749
46,ER,20,1,0.8411100507133688,0.056422218166670125
47,ER,20,2,0.8528052526654791,0.05597672724782471
48,ER,20,3,0.8585621004619869,0.05229494728203231
49,ER,20,4,0.8635405762096708,0.0496123078605043
50,ER,20,5,0.867990713173177,0.047613948744432213
51,ER,20,6,0.8710203281680409,0.04574533003821114
52,ER,20,7,0.8728987696584886,0.04356676797926873
53,ER,20,8,0.8734671240797993,0.042501375863275265
54,ER,20,9,0.8744966289757267,0.04111629321253898
55,ER,20,10,0.8745640503568367,0.03950745158469396
56,ER,20,11,0.8753552857460892,0.03933239013586146
57,ER,20,12,0.8737810428213656,0.038289281221746185
58,ER,20,13,0.8746895013170525,0.03894786998860433
59,ER,20,14,0.8743964603742939,0.03806067219849681
60,ER,40,0,0.8351774533545134,0.056585389440910364
61,ER,40,1,0.8540642300342848,0.05074546679024258
62,ER,40,2,0.86014556226623,0.046657291048700714
63,ER,40,3,0.8637792691525636,0.0446007559493455
64,ER,40,4,0.866780211841094,0.04549224357438796
65,ER,40,5,0.8677159581383126,0.04688903362038377
66,ER,40,6,0.8680977877654632,0.04801849712352324
67,ER,40,7,0.8684030015987986,0.04929015398428912
68,ER,40,8,0.868202761136174,0.049378668243325735
69,ER,40,9,0.8683745900963971,0.05017474173159441
70,ER,40,10,0.8688731781714412,0.04944556797310688
71,ER,40,11,0.8683963734286877,0.0497679213844199
72,ER,40,12,0.8684713607618892,0.04937236414861477
73,ER,40,13,0.8696187883682771,0.04882782069017906
74,ER,40,14,0.8688253485538662,0.05033475771186899
75,SF,1,0,0.9559410916450357,0.0034382394746077035
76,SF,1,1,0.9595376079606597,0.0027606848431406474
77,SF,1,2,0.9606928339708662,0.0024653563812621804
78,SF,1,3,0.9614554684669596,0.002325435917356455
79,SF,1,4,0.9617259129916572,0.0023015877439415567
80,SF,1,5,0.9620821323510851,0.0022503626508548224
81,SF,1,6,0.9621968298973245,0.0022338995394577702
82,SF,1,7,0.9626383044355331,0.0021579357747331706
83,SF,1,8,0.9631261287587034,0.0020637976367999236
