,gtype,segraph,copies,epochs,kendalltau,std
0,GRP,0,10,0,0.7909051637973425,0.02087656159741351
1,GRP,0,10,1,0.8447206607430584,0.01752277162003258
2,GRP,0,10,2,0.8596758306646967,0.011544774378721614
3,GRP,0,10,3,0.8696262512731533,0.00956230524462795
4,GRP,0,10,4,0.8770581224238576,0.008599373178355744
5,GRP,0,10,5,0.8836344879586802,0.008590855226052511
6,GRP,0,10,6,0.8872995109245322,0.007616972576032844
7,GRP,0,10,7,0.891976889012015,0.007961938373848152
8,GRP,0,10,8,0.8946593058367615,0.007877653208377626
9,GRP,0,10,9,0.8980510516306592,0.008744190387454802
10,GRP,1,10,0,0.7785179804563478,0.026017941104602423
11,GRP,1,10,1,0.8351459187455175,0.02155671899747057
12,GRP,1,10,2,0.8473656101637322,0.016721336260346158
13,GRP,1,10,3,0.8582265814665886,0.013490538118875194
14,GRP,1,10,4,0.8705399058726238,0.013078329585101403
15,GRP,1,10,5,0.8803580222257544,0.01366982165541838
16,GRP,1,10,6,0.888023660145239,0.014879847397853157
17,GRP,1,10,7,0.8932190614696284,0.014077707513439968
18,GRP,1,10,8,0.8964066305970503,0.013975488435350559
19,GRP,1,10,9,0.8987864568077164,0.013619784526311247
20,GRP,2,10,0,0.7730284596104722,0.01919728215936529
21,GRP,2,10,1,0.8360740511366991,0.014457884762292745
22,GRP,2,10,2,0.8497870084057284,0.011654697261261827
23,GRP,2,10,3,0.8567497608613147,0.007785841753020785
24,GRP,2,10,4,0.8631539618540014,0.006719891480902769
25,GRP,2,10,5,0.8698917938646268,0.00728394700682717
26,GRP,2,10,6,0.8744363546636496,0.0066585799806710205
27,GRP,2,10,7,0.8760977796966815,0.005622650367239225
28,GRP,2,10,8,0.8781652432180189,0.005351450720828677
29,GRP,2,10,9,0.8791409112510591,0.004792769524041648
30,GRP,3,10,0,0.7864846211986334,0.025801735950998647
31,GRP,3,10,1,0.8430880780695243,0.020211176040550984
32,GRP,3,10,2,0.8609844950454064,0.01464726226528633
33,GRP,3,10,3,0.8753813126799889,0.015753210718893244
34,GRP,3,10,4,0.8865640199285736,0.01685287289821673
35,GRP,3,10,5,0.8947672673656868,0.016452423568367673
36,GRP,3,10,6,0.8989254974126407,0.015689320713587536
37,GRP,3,10,7,0.9009258049515537,0.013892863451222438
38,GRP,3,10,8,0.90203187888181,0.013256185622411884
39,GRP,3,10,9,0.9031536982263472,0.013077566033872173
40,GRP,4,10,0,0.7800741576348013,0.02763844060899346
41,GRP,4,10,1,0.832393719338741,0.02517370727023012
42,GRP,4,10,2,0.8445015828193837,0.020000322101000858
43,GRP,4,10,3,0.8575400200746024,0.016534829147878807
44,GRP,4,10,4,0.8712700969268006,0.016449073170384635
45,GRP,4,10,5,0.8820402729091306,0.017756490228137085
46,GRP,4,10,6,0.8887659187922076,0.016997669316765395
47,GRP,4,10,7,0.8931498745612947,0.016640956760196286
48,GRP,4,10,8,0.8950657042609471,0.014823793792426255
49,GRP,4,10,9,0.8971681295393207,0.014882033675413627
50,ER,0,10,0,0.7153791275056879,0.02285270377893232
51,ER,0,10,1,0.7816164490747871,0.02750168393404844
52,ER,0,10,2,0.8031714871691369,0.02388211945770421
53,ER,0,10,3,0.816557412202864,0.022321274641392507
54,ER,0,10,4,0.8264887752628866,0.022106631339705182
55,ER,0,10,5,0.834709407688095,0.022330299989845592
56,ER,0,10,6,0.8415629173388741,0.021247716716219858
57,ER,0,10,7,0.8483714719592361,0.021189301328420264
58,ER,0,10,8,0.8542867507308861,0.020339108412950856
59,ER,0,10,9,0.8589042218544407,0.018602658486617605
60,ER,1,10,0,0.7226566969908117,0.04965485525041065
61,ER,1,10,1,0.7659842525467194,0.058792116136523444
62,ER,1,10,2,0.7855551750099996,0.062025090803884644
63,ER,1,10,3,0.7945098173069476,0.06827369072287726
64,ER,1,10,4,0.8004882237667165,0.07573762004258766
65,ER,1,10,5,0.803165582296683,0.0787799295431734
66,ER,1,10,6,0.8063830915035138,0.08210625158533694
67,ER,1,10,7,0.8086437658258296,0.08804649800031508
68,ER,1,10,8,0.8129057725888587,0.08925792914135904
69,ER,1,10,9,0.8091519076446241,0.09089926454294064
70,ER,2,10,0,0.6778832647704853,0.03488075695968686
71,ER,2,10,1,0.7516136853786726,0.03252261575854448
72,ER,2,10,2,0.7668387230345258,0.030151789881819283
73,ER,2,10,3,0.7717732786446738,0.0321676629684191
74,ER,2,10,4,0.7767381843864627,0.032656668881084434
75,ER,2,10,5,0.7836670433635436,0.032959648770059705
76,ER,2,10,6,0.7940569768977117,0.03265220554538664
77,ER,2,10,7,0.8037811197086093,0.034838561762502225
78,ER,2,10,8,0.8115285290399928,0.0366533712967668
79,ER,2,10,9,0.8143359205951768,0.037976776647975
80,ER,3,10,0,0.7246719318967089,0.04512107155850073
81,ER,3,10,1,0.7711731418222741,0.042193917182811486
82,ER,3,10,2,0.7921933603150768,0.04380581738891766
83,ER,3,10,3,0.8026900943611714,0.04618151630013021
84,ER,3,10,4,0.8105448498474269,0.050713941864702766
85,ER,3,10,5,0.817935701555035,0.05584278100040465
86,ER,3,10,6,0.8253861758368165,0.05790156883554537
87,ER,3,10,7,0.8316638432615253,0.05945537613852611
88,ER,3,10,8,0.835570778394224,0.0629829101512606
89,ER,3,10,9,0.8396059201078249,0.06381224265334888
90,ER,4,10,0,0.7172629195977539,0.02914654355476603
91,ER,4,10,1,0.7772358618120548,0.028743663706884224
92,ER,4,10,2,0.8016811953433326,0.024508915362149573
93,ER,4,10,3,0.817157160921791,0.023365214090922397
94,ER,4,10,4,0.8270138196466613,0.02344809146572506
95,ER,4,10,5,0.835414865516315,0.024352045728396242
96,ER,4,10,6,0.8427045107411694,0.02502362964909963
97,ER,4,10,7,0.8487861566984473,0.02402594623540672
98,ER,4,10,8,0.8541120252559586,0.023500901425474115
99,ER,4,10,9,0.8580093421524857,0.02278299533612526
100,SF,0,10,0,0.9642739004386461,0.0015204004279834322
101,SF,0,10,1,0.9677761889625867,0.001523447770306186
102,SF,0,10,2,0.9703883167883893,0.0018080332622209465
103,SF,0,10,3,0.9719183714504063,0.002107412908842585
104,SF,0,10,4,0.9727289046119119,0.0023579337542176822
105,SF,0,10,5,0.9731886581598876,0.002473510281864664
106,SF,0,10,6,0.9735408114506114,0.0024730236361842775
107,SF,0,10,7,0.9738377058906165,0.0024972044617148008
108,SF,0,10,8,0.9741186347798401,0.002497274413984379
109,SF,0,10,9,0.9743515658443134,0.0025263729475581568
110,SF,1,10,0,0.9640924426580109,0.001555250107536063
111,SF,1,10,1,0.9676904147566658,0.0015840721694621838
112,SF,1,10,2,0.9704029010747414,0.0018634687605863735
113,SF,1,10,3,0.9719700523305853,0.002183621255263596
114,SF,1,10,4,0.9728514509773415,0.0024294528560491724
115,SF,1,10,5,0.9733907982804931,0.002583560990932774
