,g,layers,emb,epoch,kt,avg
0,SF,1,2,0,0.9480662432600899,0.003837853977238331
1,SF,1,2,1,0.9433814072237899,0.011512814042551068
2,SF,1,2,2,0.9448494750412912,0.011929617277135348
3,SF,1,2,3,0.9457620909175505,0.011407622074649189
4,SF,1,2,4,0.9464946253971801,0.010606940385254879
5,SF,1,2,5,0.9464105362755024,0.010627282676264106
6,SF,1,2,6,0.9464840364891305,0.010741172501758097
7,SF,1,2,7,0.9466546683897328,0.010781022408724193
8,SF,1,2,8,0.9460782662681625,0.010959138164648998
9,SF,1,2,9,0.9460515736781658,0.01103117397841823
10,SF,1,2,10,0.9453677109556221,0.011317480228974254
11,SF,1,2,11,0.9430092976636338,0.012610926926393802
12,SF,1,2,12,0.9425161575849677,0.012918567907740102
13,SF,1,2,13,0.941846941427445,0.013227828332439618
14,SF,1,2,14,0.9411753770294775,0.012814073263985627
15,SF,4,2,0,,
16,SF,4,2,1,,
17,SF,4,2,2,,
18,SF,4,2,3,,
19,SF,4,2,4,,
20,SF,4,2,5,,
21,SF,4,2,6,,
22,SF,4,2,7,,
23,SF,4,2,8,,
24,SF,4,2,9,,
25,SF,4,2,10,,
26,SF,4,2,11,,
27,SF,4,2,12,,
28,SF,4,2,13,,
29,SF,4,2,14,,
30,SF,7,2,0,0.9605431998068481,0.002053361942130268
31,SF,7,2,1,0.9592962472239,0.0020883377989008582
32,SF,7,2,2,0.9584934753961601,0.002157039542203173
33,SF,7,2,3,0.9596856267490914,0.0019538300927552654
34,SF,7,2,4,0.9605646123877781,0.0018479152429618378
35,SF,7,2,5,0.9608704723237513,0.0018467969794160053
36,SF,7,2,6,0.9624957683169294,0.001970500539257959
37,SF,7,2,7,0.9638030232954209,0.0021759842018063635
38,SF,7,2,8,0.9666122247160865,0.0018823925776206547
39,SF,7,2,9,0.9677234203826133,0.0017179103723304254
40,SF,7,2,10,0.9679409603382021,0.0016826274199293716
41,SF,7,2,11,0.968677535440092,0.0015747249991648325
42,SF,7,2,12,0.9686944350205529,0.0015697906563049595
43,SF,7,2,13,0.9692491956069512,0.0015373334559981332
44,SF,7,2,14,0.9695123224028409,0.001565229079728136
45,SF,1,4,0,0.9530474140206067,0.007740544015619844
46,SF,1,4,1,0.9596500475454978,0.004087689277451075
47,SF,1,4,2,0.9611262241406309,0.003753075384719524
48,SF,1,4,3,0.9645261396241436,0.0023872067299123014
49,SF,1,4,4,0.9664375991219283,0.0022784224827050487
50,SF,1,4,5,0.9677342078857875,0.0022953498434310025
51,SF,1,4,6,0.9685329740789168,0.002338240958811985
52,SF,1,4,7,0.9691163601700851,0.0022439422392705527
53,SF,1,4,8,0.9698654127714894,0.0020814489746596304
54,SF,1,4,9,0.9702969750998557,0.0021164894890088816
55,SF,1,4,10,0.9706379310079886,0.0019821509757989037
56,SF,1,4,11,0.9708044925228532,0.0019310839951286367
57,SF,1,4,12,0.9709547524929304,0.0018041172296352271
