,gtype,itersplit,copies,epochs,kendalltau,std
0,GRP,0,10,0,0.7864318927012839,0.02221999097499817
1,GRP,0,10,1,0.8457565828412117,0.013152071866776386
2,GRP,0,10,2,0.8595005104137879,0.008923484341122683
3,GRP,0,10,3,0.875264278819388,0.008323660327853208
4,GRP,0,10,4,0.883213559825804,0.007942125279054453
5,GRP,0,10,5,0.8889476634458868,0.0076755035776980805
6,GRP,0,10,6,0.8927723151324354,0.007447562011281256
7,GRP,0,10,7,0.8957711605742172,0.007792459918391074
8,GRP,0,10,8,0.8976258416705661,0.007813592371296184
9,GRP,0,10,9,0.8988042222488136,0.007800673024904543
10,GRP,1,10,0,0.7853620530376806,0.018340536693336483
11,GRP,1,10,1,0.8444416512791809,0.011172942452693407
12,GRP,1,10,2,0.8574717182578885,0.007776224023416865
13,GRP,1,10,3,0.864895024564128,0.006361922934538659
14,GRP,1,10,4,0.8706957630544018,0.006210996177999294
15,GRP,1,10,5,0.877700368740485,0.006521620634158208
16,GRP,1,10,6,0.8829096404714912,0.006234156958504313
17,GRP,1,10,7,0.8889894665645766,0.006658340971579291
18,GRP,1,10,8,0.8919934514963579,0.0061904421874450066
19,GRP,1,10,9,0.8935597989204416,0.00645044119525965
20,GRP,2,10,0,0.7926713396168761,0.022039140653623925
21,GRP,2,10,1,0.8424492061112335,0.01657687415475851
22,GRP,2,10,2,0.8589147952500766,0.01262671952115904
23,GRP,2,10,3,0.8689121931398063,0.00989323242271844
24,GRP,2,10,4,0.8772825485524999,0.009983067667887868
25,GRP,2,10,5,0.8839787496554475,0.009411066408762167
26,GRP,2,10,6,0.8899774469490259,0.009792982027702134
27,GRP,2,10,7,0.8939190832767568,0.00937630387818087
28,GRP,2,10,8,0.89504568139547,0.00865491926726812
29,GRP,2,10,9,0.8961836139427609,0.008620784074245793
30,GRP,3,10,0,0.7955010088631522,0.023721679965292976
31,GRP,3,10,1,0.8445999401784888,0.02039286297129531
32,GRP,3,10,2,0.8586869616191978,0.013896209699784433
33,GRP,3,10,3,0.8686553496717184,0.012072830966569005
34,GRP,3,10,4,0.8762832548131282,0.011483087662203606
35,GRP,3,10,5,0.8835682932373004,0.010593493503487546
36,GRP,3,10,6,0.8887711653454116,0.009828804724584231
37,GRP,3,10,7,0.8932408638740563,0.0099302763804065
38,GRP,3,10,8,0.8952152526142088,0.00905430812284017
39,GRP,3,10,9,0.8958299924804376,0.008860099519500165
40,GRP,4,10,0,0.7858659756519444,0.021818783230397716
41,GRP,4,10,1,0.843850477783772,0.014316416060816142
42,GRP,4,10,2,0.8570767448717136,0.01025118507501143
43,GRP,4,10,3,0.8693711776844937,0.009863282513868518
44,GRP,4,10,4,0.877827777891997,0.008499375018056622
45,GRP,4,10,5,0.8837668321506182,0.007264761157468134
46,GRP,4,10,6,0.8888547127221562,0.007105630291085481
47,GRP,4,10,7,0.8924549899945804,0.007587953554424723
48,GRP,4,10,8,0.8938407504604571,0.007185849076340966
49,GRP,4,10,9,0.8966155001230801,0.007470476511820105
50,ER,0,10,0,0.7153791275056879,0.02285270377893232
51,ER,0,10,1,0.7816164490747871,0.02750168393404844
52,ER,0,10,2,0.8031714871691369,0.02388211945770421
53,ER,0,10,3,0.816557412202864,0.022321274641392507
54,ER,0,10,4,0.8264887752628866,0.022106631339705182
55,ER,0,10,5,0.834709407688095,0.022330299989845592
56,ER,0,10,6,0.8415629173388741,0.021247716716219858
57,ER,0,10,7,0.8483714719592361,0.021189301328420264
58,ER,0,10,8,0.8542867507308861,0.020339108412950856
59,ER,0,10,9,0.8589042218544407,0.018602658486617605
60,ER,1,10,0,0.7058374615799717,0.018470420842172926
61,ER,1,10,1,0.7748990598745309,0.022653394932824197
62,ER,1,10,2,0.7973763560068128,0.01930661307808249
63,ER,1,10,3,0.8106727597044836,0.01757091212943311
64,ER,1,10,4,0.8201639903816046,0.01742072099492524
65,ER,1,10,5,0.8279783320124258,0.018002093163404103
66,ER,1,10,6,0.8348341083168155,0.018091861795815074
67,ER,1,10,7,0.8402635430193289,0.017996533094404084
68,ER,1,10,8,0.8449762353395481,0.017409869017230645
69,ER,1,10,9,0.8490851897244613,0.016479674924055335
70,ER,2,10,0,0.7115857181884229,0.019937459709458007
71,ER,2,10,1,0.7772994918782148,0.02235059845301978
72,ER,2,10,2,0.7987192288787378,0.018212673501141474
73,ER,2,10,3,0.8115213558005886,0.017113211686795977
74,ER,2,10,4,0.8216858060677517,0.016833031932057856
75,ER,2,10,5,0.8299034457893775,0.017317044953384014
76,ER,2,10,6,0.836918423865602,0.017714724146695237
77,ER,2,10,7,0.8428191074632372,0.0168629585388437
78,ER,2,10,8,0.8487963127340464,0.016806046028568482
79,ER,2,10,9,0.8536932628656704,0.016423719435802394
80,ER,3,10,0,0.7093515346229948,0.019094554712380963
81,ER,3,10,1,0.7778576907372352,0.02545519577647287
82,ER,3,10,2,0.8019979902717346,0.02075404043998116
83,ER,3,10,3,0.8158085052090593,0.01973930603407772
84,ER,3,10,4,0.8248310466973245,0.019767969174342405
85,ER,3,10,5,0.8320666285715557,0.020090484306340577
86,ER,3,10,6,0.8385541269334185,0.01971179977339172
87,ER,3,10,7,0.8441368047593982,0.01856246811925019
88,ER,3,10,8,0.8489566628869355,0.01822855061036775
89,ER,3,10,9,0.8531975234476196,0.01756535183151773
