,g,layers,epoch,kt,std
0,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,0,0.7102471082937112,0.07284437931454305
1,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,1,0.7255050873654084,0.07045623269350466
2,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,2,0.7432163695316969,0.06988259293839151
3,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,3,0.7617742582153821,0.06926513524952237
4,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,4,0.780615454588005,0.06767907787081386
5,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,5,0.7946802094820318,0.06523328586504021
6,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,6,0.802468954670126,0.06300067777934686
7,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,7,0.8072249711574887,0.06146725591941618
8,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,8,0.8112899250490294,0.059980369889360806
9,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,9,0.8142100032461734,0.05895517869035325
10,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,10,0.8161784220008771,0.05818956634692939
11,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,11,0.8177405424463394,0.05757691221036146
12,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,12,0.8193114778912228,0.057645213081374
13,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,13,0.8202953076614194,0.057505681377036905
14,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,1,14,0.82109741371033,0.05736718631622486
