,graph,size,copies,epochs,kendalltau,std
0,LFR_10_graphs_10000_size,1000,1,0,0.7613041872530718,0.010222573572815108
1,LFR_10_graphs_10000_size,1000,1,1,0.770461461009967,0.00975405434186813
2,LFR_10_graphs_10000_size,1000,1,2,0.7778913929244851,0.010010685480803984
3,LFR_10_graphs_10000_size,1000,1,3,0.7828547949847037,0.010147059202458808
4,LFR_10_graphs_10000_size,1000,1,4,0.7870576300286561,0.010084159779585782
5,LFR_10_graphs_10000_size,1000,1,5,0.7919222450060553,0.010239235987767855
6,LFR_10_graphs_10000_size,1000,1,6,0.7966836206702638,0.010165061896204811
7,LFR_10_graphs_10000_size,1000,1,7,0.8014777542024379,0.010192258162592603
8,LFR_10_graphs_10000_size,1000,1,8,0.8065362333751412,0.010399032404370866
9,LFR_10_graphs_10000_size,1000,1,9,0.8116901684844328,0.01047711497679871
10,LFR_10_graphs_10000_size,1000,1,10,0.8170642763562663,0.010630696456716883
11,LFR_10_graphs_10000_size,1000,1,11,0.8225311380346885,0.010789285019220288
12,LFR_10_graphs_10000_size,1000,1,12,0.8274557800874783,0.010882250149870864
13,LFR_10_graphs_10000_size,1000,1,13,0.8312955100822057,0.011026585779254172
14,LFR_10_graphs_10000_size,1000,1,14,0.8324669681749937,0.011098216002398771
15,LFR_10_graphs_10000_size,1000,10,0,0.8111137254959451,0.0104050911793711
16,LFR_10_graphs_10000_size,1000,10,1,0.8459164496291937,0.010646804158582306
17,LFR_10_graphs_10000_size,1000,10,2,0.8514777859206459,0.00982910898456178
18,LFR_10_graphs_10000_size,1000,10,3,0.8531865676994815,0.009671545443471425
19,LFR_10_graphs_10000_size,1000,10,4,0.8540040355009602,0.009638612466818072
20,LFR_10_graphs_10000_size,1000,10,5,0.8542649249574614,0.009494311134754492
21,LFR_10_graphs_10000_size,1000,10,6,0.8538349694394605,0.009456028488799628
22,LFR_10_graphs_10000_size,1000,10,7,0.8536783668106311,0.009486091677723628
23,LFR_10_graphs_10000_size,1000,10,8,0.8527659606661983,0.009566397615327092
24,LFR_10_graphs_10000_size,1000,10,9,0.8519044279415567,0.009534758810870382
25,LFR_10_graphs_10000_size,1000,10,10,0.8509105347099851,0.009517495900321547
26,LFR_10_graphs_10000_size,1000,10,11,0.8494827491346175,0.009547380492909888
27,LFR_10_graphs_10000_size,1000,10,12,0.8482454763640466,0.009693334012434145
28,LFR_10_graphs_10000_size,1000,10,13,0.8478280238373911,0.009671078429736192
29,LFR_10_graphs_10000_size,1000,10,14,0.8442316899586186,0.009838807597556745
30,LFR_10_graphs_10000_size,1000,20,0,0.8462613588322689,0.010832927332283852
31,LFR_10_graphs_10000_size,1000,20,1,0.8538444072436713,0.0100897661995174
32,LFR_10_graphs_10000_size,1000,20,2,0.8550422601770817,0.009876578918208184
33,LFR_10_graphs_10000_size,1000,20,3,0.8557563069512535,0.010047230531199481
34,LFR_10_graphs_10000_size,1000,20,4,0.8555353313142469,0.010498571843028309
35,LFR_10_graphs_10000_size,1000,20,5,0.8546989061311766,0.01073645818860989
36,LFR_10_graphs_10000_size,1000,20,6,0.8539883297985236,0.01098619298415541
37,LFR_10_graphs_10000_size,1000,20,7,0.8508742433454588,0.010835223407741037
38,LFR_10_graphs_10000_size,1000,20,8,0.8522227931448466,0.010890057568425643
39,LFR_10_graphs_10000_size,1000,20,9,0.851681120431245,0.011118528213961915
40,LFR_10_graphs_10000_size,1000,20,10,0.8512877589529172,0.011066724837859879
41,LFR_10_graphs_10000_size,1000,20,11,0.8511012760576933,0.011008566597665121
42,LFR_10_graphs_10000_size,1000,20,12,0.8503270134631282,0.010832091471085156
43,LFR_10_graphs_10000_size,1000,20,13,0.8505000426732849,0.010828381024164842
44,LFR_10_graphs_10000_size,1000,20,14,0.8496012303173803,0.010506360140387073
